i         cr        sl        tb        dcc       spigot    uHTR_fib  fib_ch    subdet    RM        rm_fib    fib_ch
4E2808E0  36        4         u         0         0         8         0         CRF       2         7         0
4E280865  36        4         u         0         0         4         5         CRF       2         3         5
4E2808E3  36        4         u         0         0         8         3         CRF       2         7         3
4E280863  36        4         u         0         0         4         3         CRF       2         3         3
4E2808C3  36        4         u         0         0         7         3         CRF       2         6         3
4E280860  36        4         u         0         0         4         0         CRF       2         3         0
4E2808A0  36        4         u         0         0         6         0         CRF       2         5         0
4E280901  36        4         u         0         0         9         1         CRF       2         8         1
4E2808C1  36        4         u         0         0         7         1         CRF       2         6         1
4E280903  36        4         u         0         0         9         3         CRF       2         8         3
4E2808C4  36        4         u         0         0         7         4         CRF       2         6         4
4E280900  36        4         u         0         0         9         0         CRF       2         8         0
4E280820  36        4         u         0         0         2         0         CRF       2         1         0
4E280845  36        4         u         0         0         3         5         CRF       2         2         5
4E280821  36        4         u         0         0         2         1         CRF       2         1         1
4E280844  36        4         u         0         0         3         4         CRF       2         2         4
4E2808C0  36        4         u         0         0         7         0         CRF       2         6         0
4E280881  36        4         u         0         0         5         1         CRF       2         4         1
4E2808A5  36        4         u         0         0         6         5         CRF       2         5         5
4E280880  36        4         u         0         0         5         0         CRF       2         4         0
4E2808A3  36        4         u         0         0         6         3         CRF       2         5         3
4E280822  36        4         u         0         0         2         2         CRF       2         1         2
4E280843  36        4         u         0         0         3         3         CRF       2         2         3
4E280823  36        4         u         0         0         2         3         CRF       2         1         3
4E280842  36        4         u         0         0         3         2         CRF       2         2         2
4E280824  36        4         u         0         0         2         4         CRF       2         1         4
4E280841  36        4         u         0         0         3         1         CRF       2         2         1
4E280825  36        4         u         0         0         2         5         CRF       2         1         5
4E2808E1  36        4         u         0         0         8         1         CRF       2         7         1
4E280864  36        4         u         0         0         4         4         CRF       2         3         4
4E2808E4  36        4         u         0         0         8         4         CRF       2         7         4
4E280861  36        4         u         0         0         4         1         CRF       2         3         1
4E2808E2  36        4         u         0         0         8         2         CRF       2         7         2
4E280862  36        4         u         0         0         4         2         CRF       2         3         2
4E2808E5  36        4         u         0         0         8         5         CRF       2         7         5
4E280905  36        4         u         0         0         9         5         CRF       2         8         5
4E280882  36        4         u         0         0         5         2         CRF       2         4         2
4E2808A4  36        4         u         0         0         6         4         CRF       2         5         4
4E280883  36        4         u         0         0         5         3         CRF       2         4         3
4E280884  36        4         u         0         0         5         4         CRF       2         4         4
4E2808A2  36        4         u         0         0         6         2         CRF       2         5         2
4E280904  36        4         u         0         0         9         4         CRF       2         8         4
4E2808A1  36        4         u         0         0         6         1         CRF       2         5         1
4E280840  36        4         u         0         0         3         0         CRF       2         2         0
4E280885  36        4         u         0         0         5         5         CRF       2         4         5
4E2808C5  36        4         u         0         0         7         5         CRF       2         6         5
4E280902  36        4         u         0         0         9         2         CRF       2         8         2
4E2808C2  36        4         u         0         0         7         2         CRF       2         6         2
