#Phase-2 Materials Map           
#i cr sl tb dcc spigot fiber fibcha subdet ieta iphi depth  
928 63 1 u 0 0 2 0 HE 0 0 0
928 63 1 u 0 0 2 1 HE 0 0 1
928 63 1 u 0 0 2 2 HE 0 0 2
928 63 1 u 0 0 2 3 HE 0 0 3
928 63 1 u 0 0 2 4 HE 0 0 4
928 63 1 u 0 0 2 5 HE 0 0 5
928 63 1 u 0 0 3 0 HE 0 1 0
928 63 1 u 0 0 3 1 HE 0 1 1
928 63 1 u 0 0 3 2 HE 0 1 2
928 63 1 u 0 0 3 3 HE 0 1 3
928 63 1 u 0 0 3 4 HE 0 1 4
928 63 1 u 0 0 3 5 HE 0 1 5
928 63 1 u 0 0 4 0 HE 0 2 0
928 63 1 u 0 0 4 1 HE 0 2 1
928 63 1 u 0 0 4 2 HE 0 2 2
928 63 1 u 0 0 4 3 HE 0 2 3
928 63 1 u 0 0 4 4 HE 0 2 4
928 63 1 u 0 0 4 5 HE 0 2 5
928 63 1 u 0 0 5 0 HE 0 3 0
928 63 1 u 0 0 5 1 HE 0 3 1
928 63 1 u 0 0 5 2 HE 0 3 2
928 63 1 u 0 0 5 3 HE 0 3 3
928 63 1 u 0 0 5 4 HE 0 3 4
928 63 1 u 0 0 5 5 HE 0 3 5
928 63 1 u 0 0 6 0 HE 0 4 0
928 63 1 u 0 0 6 1 HE 0 4 1
928 63 1 u 0 0 6 2 HE 0 4 2
928 63 1 u 0 0 6 3 HE 0 4 3
928 63 1 u 0 0 6 4 HE 0 4 4
928 63 1 u 0 0 6 5 HE 0 4 5
928 63 1 u 0 0 7 0 HE 0 5 0
928 63 1 u 0 0 7 1 HE 0 5 1
928 63 1 u 0 0 7 2 HE 0 5 2
928 63 1 u 0 0 7 3 HE 0 5 3
928 63 1 u 0 0 7 4 HE 0 5 4
928 63 1 u 0 0 7 5 HE 0 5 5
928 63 1 u 0 0 8 0 HE 0 6 0
928 63 1 u 0 0 8 1 HE 0 6 1
928 63 1 u 0 0 8 2 HE 0 6 2
928 63 1 u 0 0 8 3 HE 0 6 3
928 63 1 u 0 0 8 4 HE 0 6 4
928 63 1 u 0 0 8 5 HE 0 6 5
928 63 1 u 0 0 9 0 HE 0 7 0
928 63 1 u 0 0 9 1 HE 0 7 1
928 63 1 u 0 0 9 2 HE 0 7 2
928 63 1 u 0 0 9 3 HE 0 7 3
928 63 1 u 0 0 9 4 HE 0 7 4
928 63 1 u 0 0 9 5 HE 0 7 5
928 63 1 u 0 0 14 0 HE 0 8 0
928 63 1 u 0 0 14 1 HE 0 8 1
928 63 1 u 0 0 14 2 HE 0 8 2
928 63 1 u 0 0 14 3 HE 0 8 3
928 63 1 u 0 0 14 4 HE 0 8 4
928 63 1 u 0 0 14 5 HE 0 8 5
928 63 1 u 0 0 15 0 HE 0 9 0
928 63 1 u 0 0 15 1 HE 0 9 1
928 63 1 u 0 0 15 2 HE 0 9 2
928 63 1 u 0 0 15 3 HE 0 9 3
928 63 1 u 0 0 15 4 HE 0 9 4
928 63 1 u 0 0 15 5 HE 0 9 5
928 63 1 u 0 0 16 0 HE 0 10 0
928 63 1 u 0 0 16 1 HE 0 10 1
928 63 1 u 0 0 16 2 HE 0 10 2
928 63 1 u 0 0 16 3 HE 0 10 3
928 63 1 u 0 0 16 4 HE 0 10 4
928 63 1 u 0 0 16 5 HE 0 10 5
928 63 1 u 0 0 17 0 HE 0 11 0
928 63 1 u 0 0 17 1 HE 0 11 1
928 63 1 u 0 0 17 2 HE 0 11 2
928 63 1 u 0 0 17 3 HE 0 11 3
928 63 1 u 0 0 17 4 HE 0 11 4
928 63 1 u 0 0 17 5 HE 0 11 5
928 63 1 u 0 0 18 0 HE 0 12 0
928 63 1 u 0 0 18 1 HE 0 12 1
928 63 1 u 0 0 18 2 HE 0 12 2
928 63 1 u 0 0 18 3 HE 0 12 3
928 63 1 u 0 0 18 4 HE 0 12 4
928 63 1 u 0 0 18 5 HE 0 12 5
928 63 1 u 0 0 19 0 HE 0 13 0
928 63 1 u 0 0 19 1 HE 0 13 1
928 63 1 u 0 0 19 2 HE 0 13 2
928 63 1 u 0 0 19 3 HE 0 13 3
928 63 1 u 0 0 19 4 HE 0 13 4
928 63 1 u 0 0 19 5 HE 0 13 5
928 63 1 u 0 0 20 0 HE 0 14 0
928 63 1 u 0 0 20 1 HE 0 14 1
928 63 1 u 0 0 20 2 HE 0 14 2
928 63 1 u 0 0 20 3 HE 0 14 3
928 63 1 u 0 0 20 4 HE 0 14 4
928 63 1 u 0 0 20 5 HE 0 14 5
928 63 1 u 0 0 21 0 HE 0 15 0
928 63 1 u 0 0 21 1 HE 0 15 1
928 63 1 u 0 0 21 2 HE 0 15 2
928 63 1 u 0 0 21 3 HE 0 15 3
928 63 1 u 0 0 21 4 HE 0 15 4
928 63 1 u 0 0 21 5 HE 0 15 5
928 63 2 u 0 0 2 0 HE 0 16 0
928 63 2 u 0 0 2 1 HE 0 16 1
928 63 2 u 0 0 2 2 HE 0 16 2
928 63 2 u 0 0 2 3 HE 0 16 3
928 63 2 u 0 0 2 4 HE 0 16 4
928 63 2 u 0 0 2 5 HE 0 16 5
928 63 2 u 0 0 3 0 HE 0 17 0
928 63 2 u 0 0 3 1 HE 0 17 1
928 63 2 u 0 0 3 2 HE 0 17 2
928 63 2 u 0 0 3 3 HE 0 17 3
928 63 2 u 0 0 3 4 HE 0 17 4
928 63 2 u 0 0 3 5 HE 0 17 5
928 63 2 u 0 0 4 0 HE 0 18 0
928 63 2 u 0 0 4 1 HE 0 18 1
928 63 2 u 0 0 4 2 HE 0 18 2
928 63 2 u 0 0 4 3 HE 0 18 3
928 63 2 u 0 0 4 4 HE 0 18 4
928 63 2 u 0 0 4 5 HE 0 18 5
928 63 2 u 0 0 5 0 HE 0 19 0
928 63 2 u 0 0 5 1 HE 0 19 1
928 63 2 u 0 0 5 2 HE 0 19 2
928 63 2 u 0 0 5 3 HE 0 19 3
928 63 2 u 0 0 5 4 HE 0 19 4
928 63 2 u 0 0 5 5 HE 0 19 5
928 63 2 u 0 0 6 0 HE 0 20 0
928 63 2 u 0 0 6 1 HE 0 20 1
928 63 2 u 0 0 6 2 HE 0 20 2
928 63 2 u 0 0 6 3 HE 0 20 3
928 63 2 u 0 0 6 4 HE 0 20 4
928 63 2 u 0 0 6 5 HE 0 20 5
928 63 2 u 0 0 7 0 HE 0 21 0
928 63 2 u 0 0 7 1 HE 0 21 1
928 63 2 u 0 0 7 2 HE 0 21 2
928 63 2 u 0 0 7 3 HE 0 21 3
928 63 2 u 0 0 7 4 HE 0 21 4
928 63 2 u 0 0 7 5 HE 0 21 5
928 63 2 u 0 0 8 0 HE 0 22 0
928 63 2 u 0 0 8 1 HE 0 22 1
928 63 2 u 0 0 8 2 HE 0 22 2
928 63 2 u 0 0 8 3 HE 0 22 3
928 63 2 u 0 0 8 4 HE 0 22 4
928 63 2 u 0 0 8 5 HE 0 22 5
928 63 2 u 0 0 9 0 HE 0 23 0
928 63 2 u 0 0 9 1 HE 0 23 1
928 63 2 u 0 0 9 2 HE 0 23 2
928 63 2 u 0 0 9 3 HE 0 23 3
928 63 2 u 0 0 9 4 HE 0 23 4
928 63 2 u 0 0 9 5 HE 0 23 5
928 63 2 u 0 0 14 0 HE 0 24 0
928 63 2 u 0 0 14 1 HE 0 24 1
