#Phase-2 Materials Map
#i  cr  sl  tb  dcc spigot  fiber   fibcha  subdet  ieta    iphi    depth
928  63  2   u  0   0     2   0   HE   0    8  0
928  63  2   u  0   0     2   1   HE   1    8  0
928  63  2   u  0   0     2   2   HE   2    8  0
928  63  2   u  0   0     2   3   HE   3    8  0
928  63  2   u  0   0     2   4   HE   4    8  0
928  63  2   u  0   0     2   5   HE   5    8  0
928  63  2   u  0   0     3   0   HE   0    8  1
928  63  2   u  0   0     3   1   HE   1    8  1
928  63  2   u  0   0     3   2   HE   2    8  1
928  63  2   u  0   0     3   3   HE   3    8  1
928  63  2   u  0   0     3   4   HE   4    8  1
928  63  2   u  0   0     3   5   HE   5    8  1
928  63  2   u  0   0     4   0   HE   0    8  2
928  63  2   u  0   0     4   1   HE   1    8  2
928  63  2   u  0   0     4   2   HE   2    8  2
928  63  2   u  0   0     4   3   HE   3    8  2
928  63  2   u  0   0     4   4   HE   4    8  2
928  63  2   u  0   0     4   5   HE   5    8  2
928  63  2   u  0   0     5   0   HE   0    8  3
928  63  2   u  0   0     5   1   HE   1    8  3
928  63  2   u  0   0     5   2   HE   2    8  3
928  63  2   u  0   0     5   3   HE   3    8  3
928  63  2   u  0   0     5   4   HE   4    8  3
928  63  2   u  0   0     5   5   HE   5    8  3
928  63  2   u  0   0     6   0   HE   0    8  4
928  63  2   u  0   0     6   1   HE   1    8  4
928  63  2   u  0   0     6   2   HE   2    8  4
928  63  2   u  0   0     6   3   HE   3    8  4
928  63  2   u  0   0     6   4   HE   4    8  4
928  63  2   u  0   0     6   5   HE   5    8  4
928  63  2   u  0   0     7   0   HE   0    8  5
928  63  2   u  0   0     7   1   HE   1    8  5
928  63  2   u  0   0     7   2   HE   2    8  5
928  63  2   u  0   0     7   3   HE   3    8  5
928  63  2   u  0   0     7   4   HE   4    8  5
928  63  2   u  0   0     7   5   HE   5    8  5
928  63  2   u  0   0     8   0   HE   0    8  6
928  63  2   u  0   0     8   1   HE   1    8  6
928  63  2   u  0   0     8   2   HE   2    8  6
928  63  2   u  0   0     8   3   HE   3    8  6
928  63  2   u  0   0     8   4   HE   4    8  6
928  63  2   u  0   0     8   5   HE   5    8  6
928  63  2   u  0   0     9   0   HE   0    8  7
928  63  2   u  0   0     9   1   HE   1    8  7
928  63  2   u  0   0     9   2   HE   2    8  7
928  63  2   u  0   0     9   3   HE   3    8  7
928  63  2   u  0   0     9   4   HE   4    8  7
928  63  2   u  0   0     9   5   HE   5    8  7
928  63  2   u  0   0    14   0   HE   0    8  8
928  63  2   u  0   0    14   1   HE   1    8  8
928  63  2   u  0   0    14   2   HE   2    8  8
928  63  2   u  0   0    14   3   HE   3    8  8
928  63  2   u  0   0    14   4   HE   4    8  8
928  63  2   u  0   0    14   5   HE   5    8  8
928  63  2   u  0   0    15   0   HE   0    8  9
928  63  2   u  0   0    15   1   HE   1    8  9
928  63  2   u  0   0    15   2   HE   2    8  9
928  63  2   u  0   0    15   3   HE   3    8  9
928  63  2   u  0   0    15   4   HE   4    8  9
928  63  2   u  0   0    15   5   HE   5    8  9
928  63  2   u  0   0    16   0   HE   0    8 10
928  63  2   u  0   0    16   1   HE   1    8 10
928  63  2   u  0   0    16   2   HE   2    8 10
928  63  2   u  0   0    16   3   HE   3    8 10
928  63  2   u  0   0    16   4   HE   4    8 10
928  63  2   u  0   0    16   5   HE   5    8 10
928  63  2   u  0   0    17   0   HE   0    8 11
928  63  2   u  0   0    17   1   HE   1    8 11
928  63  2   u  0   0    17   2   HE   2    8 11
928  63  2   u  0   0    17   3   HE   3    8 11
928  63  2   u  0   0    17   4   HE   4    8 11
928  63  2   u  0   0    17   5   HE   5    8 11
928  63  2   u  0   0    18   0   HE   0    8 12
928  63  2   u  0   0    18   1   HE   1    8 12
928  63  2   u  0   0    18   2   HE   2    8 12
928  63  2   u  0   0    18   3   HE   3    8 12
928  63  2   u  0   0    18   4   HE   4    8 12
928  63  2   u  0   0    18   5   HE   5    8 12
928  63  2   u  0   0    19   0   HE   0    8 13
928  63  2   u  0   0    19   1   HE   1    8 13
928  63  2   u  0   0    19   2   HE   2    8 13
928  63  2   u  0   0    19   3   HE   3    8 13
928  63  2   u  0   0    19   4   HE   4    8 13
928  63  2   u  0   0    19   5   HE   5    8 13
928  63  2   u  0   0    20   0   HE   0    8 14
928  63  2   u  0   0    20   1   HE   1    8 14
928  63  2   u  0   0    20   2   HE   2    8 14
928  63  2   u  0   0    20   3   HE   3    8 14
928  63  2   u  0   0    20   4   HE   4    8 14
928  63  2   u  0   0    20   5   HE   5    8 14
928  63  2   u  0   0    21   0   HE   0    8 15
928  63  2   u  0   0    21   1   HE   1    8 15
928  63  2   u  0   0    21   2   HE   2    8 15
928  63  2   u  0   0    21   3   HE   3    8 15
928  63  2   u  0   0    21   4   HE   4    8 15
928  63  2   u  0   0    21   5   HE   5    8 15
